名字,开放时间,评分,建议游玩时间,门票,来源城市
"枫泾古镇Fengjing Ancient Town","05/01-10/7 08:00-17:00;10/8-04/30 08:00-16:30",4.3,12,"{'枫泾古镇通票成人票\n\n': ['¥38起'], '枫泾古镇通票儿童票\n\n': ['¥25起'], '枫泾古镇通票学生票\n\n': ['¥25起']}",上海
"长兴岛Changxing Island","全年 全天开放",4.5,72,"{'【长江双岛】横沙岛+长兴岛(坐船渡长江,抓螃蟹,纯玩无购物)\n\n': ['¥99起']}",上海
"迪士尼小镇Disneytown","11/3-11/4 10:00-21:00;11/5-11/7 10:00-22:00",4.7,3.5,"{'上海迪士尼乐园1日门票成人票\n\n': ['¥397起'], '上海迪士尼乐园1日门票儿童票\n\n': ['¥307起'], '上海迪士尼乐园1日门票老人票\n\n': ['¥308起']}",上海
"上海老街Shanghai Old Street","全年 全天开放",4.7,2,"{'【酒店套餐】上海玩具总动员酒店1晚+可加入住次日迪士尼乐园门票+提前1小时入园+乐园往返接驳车\n\n': ['¥2959起'], '【酒店套餐】亲子游-上海美时·度假酒店+上海迪士尼乐园班车 可选上海迪士尼乐园一日票/两日票\n\n': ['¥355起']}",上海
"广富林文化遗址Guangfulin Relics Park","1/1-2/10 09:00-17:00;2/10-2/10 09:00-14:00;2/11-12/31 09:00-17:00",4.6,4,"{'广富林文化展示馆文化展览馆门票成人票\n\n': ['¥29.9起'], '广富林文化展示馆文化展览馆门票学生票\n\n': ['¥14.9起'], '广富林文化展示馆文化展览馆门票优待票\n\n': ['¥14.9起']}",上海
"城隍庙旅游区Shanghai City God Temple Tourist Area","01/01-12/31 全天开放",4.7,2.5,"{'豫园门票成人票\n\n': ['¥30起'], '豫园门票学生票\n\n': ['¥15起'], '豫园门票老人票\n\n': ['¥15起']}",上海
"上海影视乐园Shanghai Film Park","1/1-9/12 08:30-16:30;9/13-9/14 全天不开放 ;9/15-9/22 08:30-16:30;9/23-9/24 全天不开放 ;9/25-12/31 08:30-16:30",4.4,5,"{'上海影视乐园门票成人票\n\n': ['¥64.4起'], '上海影视乐园门票儿童票\n\n': ['¥50起'], '上海影视乐园门票老人票\n\n': ['¥50起']}",上海
"黄浦江Huangpu River","全年 全天开放",4.7,1.5,"游船需另外收费。",上海
"豫园星空梦幻馆Yuyuan Fantasy Starry Pavilion","全年 10:00-22:00",3.8,2,"{'豫园星空梦幻馆门票成人票\n\n': ['¥65起'], '豫园星空梦幻馆门票儿童票\n\n': ['¥39.9起'], '豫园星空梦幻馆门票学生票\n\n': ['¥49.9起']}",上海
"人民广场People's Square","全天开放",4.7,1.5,"{'BUS TOUR 上海观光游24小时观光车票成人票\n\n': ['¥100起'], '上海迪士尼乐园门票+人民广场地铁站往返车+园内导游+行李寄存车上+童车预约\n\n': ['¥499起'], '上海迪士尼乐园一日游【门票/导游带玩6小时小团/项目免排队/烟花vip多套餐可选】\n\n': ['¥499起']}",上海
"大宁灵石公园Daning Park","全年 05:00-22:00",4.6,2.5,"{'大宁灵石公园手机智能导游讲解（不含门票）门票大小同价\n\n': ['¥7起']}",上海
"广富林遗址文化公园","全天",4.4,2,"免费",上海
"上海共青森林公园Gongqing National Forest Park","全年 05:00-19:30",4.7,4.5,"{'共青森林公园门票大小同价\n\n': ['¥258起'], '共青森林公园电子导览服务大小同价\n\n': ['¥10起'], '上海共青森林公园熊猫遛娃共享童车租赁服务大小同价\n\n': ['¥20起']}",上海
"新天地Xintiandi","全天开放",4.7,3.5,"{'NBA乐园门票亲子票(1大1小)\n\n': ['¥228起']}",上海
"奉贤渔人码头Fisherman's Wharf","全年 全天开放",4.2,2.5,"20元",上海
"金茂大厦88层观光厅Jinmao Tower Observation Deck","3/13-12/31 08:30-21:30",4.7,1.5,"{'上海金茂大厦88层观光厅门票成人票\n\n': ['¥72起'], '上海金茂大厦88层观光厅门票儿童票\n\n': ['¥46.5起'], '上海金茂大厦88层观光厅门票学生票\n\n': ['¥62起']}",上海
"上海动物园Shanghai Zoo","03/01-10/31 08:00-17:00;11/01-02/28 08:00-16:30",4.7,4,"{'上海动物园门票成人票\n\n': ['¥40起'], '上海动物园门票儿童票\n\n': ['¥20起'], '上海动物园门票老人票\n\n': ['¥36起']}",上海
"复旦大学Fudan University","全年 09:00-16:00",4.8,2.5,"免费",上海
"南翔古镇Nanxiang Ancient Town","古镇全天开放，内部景点开放时间不一，详见景点公示。",4.4,72,"{'檀园门票+南翔小笼16只品尝券大小同价\n\n': ['¥35起'], '南翔古镇自制南翔小笼体验券门票大小同价\n\n': ['¥58起'], '南翔檀园门票成人票\n\n': ['¥18起']}",上海
"中华艺术宫China Art Museum","全年 周一-周四,周日 08:30-16:30",4.6,4,"{'中华艺术宫中高级导游私享人工讲解服务（含门票+入园预约）票大小同价\n\n': ['¥176起']}",上海
"东滩湿地公园Dongtan Wetland Park","全年 周一 全天不开放 ;全年 周二-周日 08:30-17:00;中国法定节假日 08:30-17:00",4.2,5,"{'东滩湿地公园门票成人票\n\n': ['¥42.9起'], '东滩湿地公园门票优待票\n\n': ['¥26.6起'], '东滩湿地公园门票＋单车套餐成人票\n\n': ['¥72起']}",上海
"上海汽车博物馆Shanghai Automobile Museum","周二-周日：9:30-16:30，周一不开放；法定节假日：9:30-16:30。",4.7,2.5,"{'上海汽车博物馆门票成人票\n\n': ['¥55起'], '上海汽车博物馆门票学生票\n\n': ['¥35起'], '上海汽车博物馆门票老人票\n\n': ['¥35起']}",上海
"东平国家森林公园Dongping National Forest Park","7/3-12/31 09:00-17:30",4.5,4.5,"{'东平国家森林公园门票成人票\n\n': ['¥60起'], '东平国家森林公园门票儿童票\n\n': ['¥35起'], '东平国家森林公园门票老人票\n\n': ['¥56起']}",上海
"淀山湖风景区Dianshan Lake Scenic Spot","全年 全天开放",4.4,3.5,"{'上海朱家角古镇+淀山湖【豪车上门接送/导游带玩/私家团】\n\n': ['¥750起']}",上海
"步高里Bugaoli Scenic Resort","全年 全天开放",4.4,1.5,"免费",上海
"世纪公园Century Park","全年 05:00-21:00",4.8,4,"{'世纪公园游乐园代金券大小同价\n\n': ['¥80起'], '上海世纪公园电子导览服务成人票\n\n': ['¥0.4起'], '【酒店套餐】上海玩具总动员酒店1晚+可加入住次日迪士尼乐园门票+提前1小时入园+乐园往返接驳车\n\n': ['¥2959起']}",上海
"上海植物园Shanghai Botanical Garden","8：30-17：00",4.5,3,"{'上海植物园门票+南翔檀园门票成人票\n\n': ['¥18起']}",上海
"中国共产党第一次全国代表大会会址The site of the first CPC National Congress","全年 周二-周日 09:00-17:00;全年 周一 全天不开放 ;中国法定节假日 09:00-17:00",4.7,0.75,"{'中共一大会址纪念馆电子导览服务大小同价\n\n': ['¥10起']}",上海
"上海马戏城Shanghai Circus World","上海马戏城根据演出时间开放，演出售票时间9:00-19:30；表演一般周五、周六19:30-21:00。",4.6,2,"{'ERA时空之旅演出14：00场次票大小同价\n\n': ['¥361起'], '上海马戏城《时空之旅2》演出票成人票\n\n': ['¥266起'], 'ERA时空之旅演出票大小同价\n\n': ['¥456起']}",上海
"上海滨江森林公园Binjiang Forest Park","3/1-10/31 08:00-17:00;11/1-2/28 08:00-16:30",4.7,12,"{'滨江森林公园电子导览门票大小同价\n\n': ['¥7起']}",上海
"上海犹太难民纪念馆Shanghai Jewish Refugees Museum","全年 周二-周日 09:00-17:00;全年 周一 全天不开放",4.6,2.5,"{'上海犹太难民纪念馆门票成人票\n\n': ['¥20起'], '上海犹太难民纪念馆门票学生票\n\n': ['¥10起'], '上海犹太难民纪念馆门票老人票\n\n': ['¥15起']}",上海
"东方绿舟景区Oriental Land","4/1-10/31 08:30-16:30;11/1-3/31 08:30-16:00",4.6,72,"{'东方绿舟门票成人票\n\n': ['¥42.6起'], '东方绿舟门票老人票\n\n': ['¥45起'], '东方绿舟门票优待票\n\n': ['¥25起']}",上海
"太阳岛旅游度假区Sun Island","9:00-17:00",4.5,12,"{'太阳岛旅游度假区门票成人票\n\n': ['¥30起'], '太阳岛旅游度假区门票儿童票\n\n': ['¥15起'], '太阳岛国际旅游度假区入岛门票+小小牧场门票成人票\n\n': ['¥88起']}",上海
"上海当代艺术博物馆Power Station of Art","全年 周二-周日 11:00-19:00;全年 周一 全天不开放",4.6,2.5,"免费入园，部分展览参观需收费，不同展览收费情况不同，具体以景区为准。",上海
"上海星空艺术馆Shanghaixingkong Art Museum","全年  10:00-22:00",4.1,1.5,"{'上海星空艺术馆门票\n\n': ['¥49.9起'], '上海星空艺术馆门票儿童票\n\n': ['¥45起'], '上海星空艺术馆门票学生票\n\n': ['¥45起']}",上海
"花开海上生态园Huakai Haishang Ecological Park","01/01-2/10 08:00-17:00;2/11-2/12 09:00-16:00;2/13-12/31 08:00-17:00",4.6,2.5,"{'花开海上生态园门票成人票\n\n': ['¥28起'], '花开海上生态园门票双人票\n\n': ['¥56起'], '花开海上生态园电子导览服务大小同价\n\n': ['¥7起']}",上海
"南翔老街Nanxiang Old Street","全天开放",4.4,2.5,"内部景点需另收费，详情以景区公示为准。",上海
"上海薰衣草公园Momchilovtsi Herb Garden","9:00-17:00",4.7,2.5,"{'上海薰衣草公园夏日狂欢泼水节门票成人票\n\n': ['¥98起'], '季高兔窝窝亲子园门票大小同价\n\n': ['¥98起'], '季高兔窝窝亲子园门票亲子票(1大1小)\n\n': ['¥128起']}",上海
"多伦路文化名人街Duolun Road Cultural Street","全年 全天开放",4.4,1.5,"免费",上海
"七宝古镇Qibao Ancient Town","全年 全天开放",4.4,12,"{'七宝古镇导览服务成人票\n\n': ['¥7起']}",上海
"黄浦江观光区Huangpu River","免费tips:若乘船夜游：128元",4.5,5,"免费",上海
"上海展览中心Shanghai Exhibition Center","全年 09:00-19:00",4.6,2.5,"具体收费情况以景区现场公示为主。",上海
"周公馆Former Residence of Zhou Enlai in Shanghai","全年 09:07-16:33",4.7,1.5,"{'重庆市内一日游（可选含两江游船+上门接+全程错峰+打卡山城）\n\n': ['¥78起']}",上海
"古猗园Guyi Garden","3/1-11/30 05:30-19:30;12/1-2/28 06:00-19:00",4.7,3.5,"{'古猗园电子导览服务大小同价\n\n': ['¥0.5起']}",上海
"上海长风海洋世界Changfeng Ocean World","每日开放时间：10:00-18:00（最后入馆时间17:00）",4.3,3,"{'上海长风海洋世界双馆门票成人票\n\n': ['¥170起'], '上海长风海洋世界双馆门票儿童票\n\n': ['¥130起'], '上海长风海洋世界双馆门票双人票\n\n': ['¥288起']}",上海
"上海市历史博物馆Shanghai History Museum (People's Square)","周二-周日9:00-17:00（16:00停止入馆），周一闭馆。",4.7,2.5,"{'上海历史博物馆深度讲解服务大小同价\n\n': ['¥128起'], '上海市历史博物馆入园预约+金牌导游私享人工讲解服务大小同价\n\n': ['¥888起']}",上海
"望仙谷","全年 08:00-20:00",4.1,12,"{'望仙谷门票成人票\n\n': ['¥98.5起'], '望仙谷门票儿童票\n\n': ['¥60起'], '望仙谷门票老人票\n\n': ['¥60起']}",上饶
"婺源篁岭Wuyuan Huangling","全年 周一-周五 08:30-17:00",4.6,108,"{'婺源篁岭门票+双程索道票成人票\n\n': ['¥139起'], '婺源篁岭门票+双程索道票+温汤门票成人票\n\n': ['¥190起'], '婺源篁岭(门票+双程索道)1日套票+婺源风景区12景点5日通票成人票\n\n': ['¥320起']}",上饶
"婺源风景区Wuyuan Scenic Area","整个婺源县均在风景区范围内，12通票中的景点通常于7:30-18:30开放（旺季期间，部分景点有工作人员会值班至19:00，具体以景区为准）其余乡镇及村庄均为全天开放。",4.5,144,"{'婺源风景区12景点5日通票成人票\n\n': ['¥168起'], '婺源风景区12景点5日通票\n\n': ['¥105起'], '婺源风景区11景点5日通票老人票\n\n': ['¥105起']}",上饶
"月亮湾Moon Bay (Yueliang Bay, Wuyuan)","全天开放",4.4,1.5,"{'【精选 双岭赏花】 婺源篁岭+江岭赏花精品一日游（赏万亩花海+梯田油菜花+纯玩无购物+上门接送）\n\n': ['¥158起'], '【赏花精选线路】婺源篁岭景区精品半日游 上午8点或下午1点出发 梯田花海+悬崖古村+醉美油菜花\n\n': ['¥78起'], '婺源通票 门票  当天可定 婺源11景点成人通票 （5日有效 ）\n\n': ['¥178起']}",上饶
"三清山风景区Sanqingshan Scenic Area","全年 全天开放",4.7,108,"{'三清山风景区门票成人票\n\n': ['¥120起'], '三清山风景区门票儿童票\n\n': ['¥60起'], '三清山风景区门票老人票\n\n': ['¥60起']}",上饶
"李坑景区Li Valley","全年 07:30-19:30",4,2.5,"{'李坑景区门票成人票\n\n': ['¥55起'], '婺源风景区12景点5日通票成人票\n\n': ['¥168起'], '婺源风景区12景点5日通票\n\n': ['¥105起']}",上饶
"江岭景区Jiangling","全年 07:30-17:00",4.5,4,"{'江岭景区门票成人票\n\n': ['¥80起'], '婺源风景区12景点5日通票成人票\n\n': ['¥168起'], '婺源风景区12景点5日通票\n\n': ['¥105起']}",上饶
"晒秋人家","淡季（11月-4月）7:30-17:00旺季（3月-10月）6:00-18:00旺季结束时间视游客下山情况而定。",5,0.75,"门票1、 篁岭景区门票价格：120元/人；半票60元/人2、 景区上下索道票价格：100元/人；单程60/人3、景区通票（门票+景区交通）价格：145元/人；半票120元/人4、溜索：45元/次5、 导游服务费：50元/次。优惠政策1、五折优惠人群（套票120元/人，门票60元人）：六十至六十九周岁老年人（持身份证等有效证件）、全日制在校本科（含）以下学生持有效证件者（不含成人院校）、身高1.2米至1.5米的未成年人、省级美术家协会、摄影家协会会员（不含各类报刊、摄影网站的会员或特约摄影师）、持有国家残联颁发的五至十级残疾证的残疾人。2、有条件免票人群（免门票，须支付景区交通费用）：七十周岁以上(含）老人（持身份证等有效证件）、持国家残联颁发的一至四级残疾证残疾人、现役军人（含武警部队）持有效证件者、持有新闻总署或广电总局颁发的新闻记者证（采访证）者（不含各类报刊网站颁发的记者证、采访证）、国家颁发的旅行社经理资格证者（或国家旅游局颁发的旅游行业总经理岗位职务培训证），国家级导游持有效证件者、持有效身份证的婺源县居民（五一、十一节假日及油菜花季双休日除外）、境外的冠名国家摄影家协会、中国摄影家协会、中国美术家协会、中国民俗摄影家协会、江西数字影像协会、中国作家协会会员。3、免票人群（免景区门票和景区交通费）：身高不足1.2米的未成年人、持有旅行社领队证、婺源、黄山、三清山景区导游证（讲解证）、国家级导游持有效IC卡证（国导证）者（公务）、持有A类驾照运客驾驶员（公务）",上饶
"花溪水街Huaxishui Street","全天开放",4.7,2.5,"包含于婺源篁岭景区内，通用婺源篁岭景区门票。",上饶
"龟峰风景名胜区Guifeng Scenic Area","全年 06:30-16:00",4.6,4,"{'龟峰风景名胜区门票+观光车票+游船票成人票\n\n': ['¥149.5起'], '龟峰风景名胜区门票+观光车票+游船票老人票\n\n': ['¥75起'], '龟峰风景名胜区门票+观光车票+游船票优待票\n\n': ['¥75起']}",上饶
"葛仙村度假区Ge's Fairy Village","园区开放时间：全天开放，索道运行时间：8:00-17:00",4.8,108,"{'葛仙山度假区门票成人票\n\n': ['¥90起'], '葛仙山风景区门票+（往返）索道票成人票\n\n': ['¥210起'], '葛仙山风景区门票+（下行）索道票成人票\n\n': ['¥150起']}",上饶
"江湾景区Jiangwan Scenic Spot","全年 07:30-18:30",3.8,3,"{'婺源风景区江湾景区门票成人票\n\n': ['¥60起'], '婺源风景区12景点5日通票成人票\n\n': ['¥168起'], '婺源风景区12景点5日通票\n\n': ['¥105起']}",上饶
"大鄣山卧龙谷Dazhang Mountain Wolong Valley","全年 07:30-17:00",4.5,3.5,"{'大鄣山卧龙谷门票成人票\n\n': ['¥55起'], '婺源风景区12景点5日通票成人票\n\n': ['¥168起'], '婺源风景区12景点5日通票\n\n': ['¥105起']}",上饶
"灵岩洞国家森林公园Lingyan Cave National Forest Park","全年 07:30-17:00",4.2,1.5,"{'灵岩洞国家森林公园门票成人票\n\n': ['¥55起'], '婺源风景区12景点5日通票成人票\n\n': ['¥168起'], '婺源风景区12景点5日通票\n\n': ['¥105起']}",上饶
"彩虹桥Rainbow Bridge","全年 08:00-17:30",4.3,1,"{'汪口门票成人票\n\n': ['¥55起'], '婺源风景区彩虹桥门票成人票\n\n': ['¥60起'], '婺源风景区12景点5日通票成人票\n\n': ['¥168起']}",上饶
"思溪延村Sixiyan Village","全年 07:30-18:30",4.1,2.5,"{'思溪延村门票成人票\n\n': ['¥55起'], '婺源风景区12景点5日通票成人票\n\n': ['¥168起'], '婺源风景区12景点5日通票\n\n': ['¥105起']}",上饶
"上下晓起Shang Xia Xiaoqi Village","7:30-18:30",3.9,2,"{'上下晓起门票成人票\n\n': ['¥60起'], '婺源风景区12景点5日通票成人票\n\n': ['¥168起'], '婺源风景区12景点5日通票\n\n': ['¥105起']}",上饶
"鸳鸯湖Yuanyang Lake","8:00-17:00",4.2,2,"{'婺源鸳鸯湖电子导览服务大小同价\n\n': ['¥12起']}",上饶
"石城Shicheng Chengcun","全年 全天开放",4.4,2.5,"{'汪口门票成人票\n\n': ['¥55起'], '婺源风景区12景点5日通票成人票\n\n': ['¥168起'], '婺源风景区12景点5日通票\n\n': ['¥105起']}",上饶
"汪口Wangkou Village","全年 07:30-17:00",4.1,1.5,"{'汪口门票成人票\n\n': ['¥55起'], '婺源风景区12景点5日通票成人票\n\n': ['¥168起'], '婺源风景区12景点5日通票\n\n': ['¥105起']}",上饶
